x,y,Pass,Range,Sample,Section,V3.DW,R5.DW,V3.foliar,V3.root,R5.foliar,R5.root,R4.DI,R4.DS,R4.DX,R5.DI,R5.DS,R5.DX,R6.DI,R6.DS,R6.DX,PreSCN.cysts,PreSCN.eggs,PreSCN.juvs,PreSCN.eggsjuvs,PreSCN.total,Pre.spiral,Pre.lesion,Pre.dagger,PostSCN.cysts,PostSCN.eggs,PostSCN.juvs,PostSCN.eggsjuvs,PostSCN.total,Post.spiral,Post.lesion,Pre.DNA,Pre.qPCR,Pre.ratio,V3.qPCR,R5.qPCR,Post.qPCR,Post.DNA,Post.ratio,V3.Phi2,V3.PhiNPQ,V3.PhiNO,V3.SPAD,V3.NPQt,V3.LEF,V3.qL,R1.Phi2,R1.PhiNPQ,R1.PhiNO,R1.SPAD,R1.NPQt,R1.LEF,R1.qL,Yield
0.381,32.004,1,6,11,NW,0.74,6.77,0,6.67,0,0,0,0,0,0,0,0,5,1,0.56,5,340,60,400,405,16,0,0,8,580,80,660,668,8,0,65.70666667,372.4832255,2.83E-06,11.70294189,4.971507072,438.9922282,64.88,3.38E-06,0.05031517,-0.047291355,-0.006534725,1.84,-0.094361931,11.6104901,0.07355993,0.008549239,-0.021429304,0.010534912,1.2,-0.204977954,-5.247653431,-0.004551297,
0.381,35.052,1,6,12,NW,0.53,4.66,0,5,0,23.33,0,0,0,0,0,0,0,0,0,5,380,80,460,465,0,0,0,2,120,50,170,172,76,12,51.91,464.8615265,4.48E-06,6.802645683,5.580611229,322.9516017,63.31333333,2.55E-06,0.007253776,-0.055436589,0.051389689,5.1,-0.272620396,4.66145366,-0.035855524,0.012240791,-0.036152824,0.025358986,0.783333333,-0.190164561,3.353502808,-0.022483114,
0.381,38.1,1,7,13,NW,0.16,7.91,0,36.67,0,0,0,0,0,0,0,0,0,0,0,4,330,60,390,394,8,24,0,32,1800,160,1960,1992,32,0,60.49333333,390.9367828,3.23E-06,7.567399025,5.396100998,309.6568884,66.95666667,2.31E-06,0.045446315,-0.044927217,0.000811772,2.5,-0.120758161,23.55668476,0.02221995,-0.023192811,0.057535026,-0.036095636,-2.9,0.350607562,-6.582836401,0.038812905,
0.381,41.148,1,7,14,NW,0.57,7.19,0,15,0,0,0,0,0,0,0,0,5,1,0.56,10,340,140,480,490,20,8,0,14,820,200,1020,1034,60,8,69.94666667,428.642039,3.06E-06,7.529100418,4.73509407,406.6638743,60.59333333,3.36E-06,0.022435972,-0.045674781,0.022236928,2.34,-0.206650336,6.174552951,0.000362995,0.005558195,-0.031629165,0.02477915,1.616666667,-0.210787705,-0.500623081,-0.004156276,
0.381,44.196,1,8,15,NW,0.7,4.83,0,30,0,0,0,0,0,0,0,0,5,0.5,0.28,8,520,100,620,628,0,0,0,4,220,80,300,304,12,0,58.6,334.7062836,2.86E-06,6.85306263,5.085308075,489.2151998,67.87666667,3.60E-06,0.033421713,-0.031492201,0.00083343,0.58,0.005186395,18.38943088,0.005855294,-0.004392279,0.024072917,-0.020543717,-2.316666667,0.249962371,-0.493040283,0.043357706,
0.381,47.244,1,8,16,NW,0.36,2.42,0,50,0,70,10,1,1.11,20,2,4.44,65,4,28.89,14,840,180,1020,1034,0,0,0,7,400,100,500,507,4,0,69.02,264.6962204,1.92E-06,10.2206049,4.701868057,348.3269832,43.06333333,4.04E-06,0.003842571,-0.062975106,0.060924331,0.68,-0.327926747,2.406687575,-0.037472914,-0.067417784,0.082703252,-0.01488328,-4.044077125,2.675619169,-17.66987654,-0.021882859,
2.667,1.524,1,1,17,SW,0.56,2.99,0,21.67,0.83,26.67,0,0,0,15,2,3.33,35,2.5,9.72,20,920,280,1200,1220,24,8,0,21,2400,360,2760,2781,4,0,65.93666667,626.2689514,4.75E-06,3.370682716,7.400432587,701.2521261,59.88666667,5.85E-06,-0.046702657,0.011769353,0.026504319,-2.52,-0.035980447,-16.10906145,-0.013076254,-0.015561397,0.032429959,-0.017911102,-2.727010106,0.31964465,-3.27996457,0.02841807,
2.667,4.572,1,1,18,SW,0.66,4.34,0,18.33,0.83,8.33,0,0,0,15,1.5,2.5,40,2,8.89,26,1320,480,1800,1826,0,20,0,32,2960,240,3200,3232,56,8,67.6,771.7698466,5.71E-06,9.273563385,6.811618805,778.1088867,68.37333333,5.69E-06,-0.006581074,-0.014094255,0.019322802,0.405,-0.100632613,-3.983842042,-0.010668599,-0.005815781,-0.003691078,0.007426338,2.822989894,0.002129338,-0.49326376,-0.002770704,
2.667,7.62,1,2,19,SW,0.4,7.48,0,25,0,0,0,0,0,5,1,0.56,30,2,6.67,20,1000,440,1440,1460,12,16,0,11,1020,140,1160,1171,8,8,69.03666667,595.4376984,4.31E-06,7.767342567,6.439539909,954.6569825,70.57666667,6.76E-06,-0.007371212,-0.026292721,0.031838841,-2.108888889,-0.294705627,-3.666404865,-0.029163601,0.007502995,-0.016752745,0.006873002,3.868265435,0.085027255,-0.730841749,0.011869637,
2.667,10.668,1,2,20,SW,0.48,4.17,0,21.67,1.67,26.67,0,0,0,20,1.5,3.33,50,3,16.67,32,2640,280,2920,2952,24,0,0,23,1920,200,2120,2143,16,0,74.91,668.40183,4.46E-06,6.611578941,6.625335693,390.8489075,74.56333333,2.62E-06,,,,,,,,-0.020616122,0.036626642,-0.016994662,-0.377010106,0.364475805,-11.35318076,0.010632291,
2.667,13.716,1,3,21,SW,0.52,5.74,0,20,0,0,20,1,2.22,15,1.5,2.5,65,4,28.89,16,1120,200,1320,1336,24,0,0,20,1520,240,1760,1780,36,0,57.81666667,766.1282349,6.63E-06,11.98032761,6.092155457,580.9000498,80.43333333,3.61E-06,-0.010345002,0.004188016,0.005628733,-1.54,0.076361088,-3.208991389,0.004908292,-0.003138987,0.017585042,-0.017338097,0.288265435,0.296585962,-5.12985381,0.045015392,
2.667,16.764,1,3,22,SW,0.55,3.06,0,21.67,1.67,36.67,40,2,8.89,50,2.5,13.89,60,3,20,27,1960,440,2400,2427,4,0,0,11,920,100,1020,1031,12,0,58.71333333,665.0729065,5.66E-06,4.608291626,6.610771179,340.9591827,87.33,1.95E-06,-0.002141179,-0.026634017,0.028333981,-1.94,-0.264494008,0.648191211,-0.025230157,-0.027271618,0.051668544,-0.025444584,-0.660343439,0.476778822,-13.16111243,0.017144007,
2.667,19.812,1,4,23,SW,0.48,4.62,0,43.33,0.67,23.33,10,1,1.11,30,2,6.67,55,3,18.33,48,4400,240,4640,4688,20,0,0,2,80,40,120,122,32,0,78.93333333,580.2761383,3.68E-06,7.509467125,6.086244583,300.1100871,87.40333333,1.72E-06,-0.0136209,-0.030917372,0.043085421,-0.38,-0.349639384,-5.457704242,-0.043274211,0.007440386,0.008955092,-0.017183489,-0.410343439,0.237274456,1.733762887,0.035915602,
2.667,22.86,1,4,24,SW,0.39,3.02,0,45,1.33,50,15,1,1.67,40,2,8.89,50,3.5,19.44,27,2040,400,2440,2467,20,0,0,4,230,60,290,294,28,28,58.35,583.4851583,5.00E-06,9.690189362,6.906337738,203.1647733,89.5,1.14E-06,0.014676604,-0.052572825,0.037559137,0.82,-0.379786183,7.51002072,-0.026087112,-0.008912479,0.030242092,-0.022283855,0.522989894,0.31172787,-6.030006449,0.024686308,
2.667,25.908,1,5,25,NW,0.56,4.22,0,36.67,0,10,0,0,0,25,3,8.33,40,4.5,20,49,4320,720,5040,5089,28,32,0,3,140,60,200,203,4,0,60.58666667,512.3638204,4.23E-06,3.955962181,5.092143059,440.0369721,62.03333333,3.55E-06,0.007408102,-0.047650732,0.039463685,0.4,-0.383473932,5.466956323,-0.026167101,-0.018610582,0.024752749,-0.006865764,-1.860343439,0.303974657,-6.278637442,0.001834308,
2.667,28.956,1,5,26,NW,0.7,4.72,0,16.67,0,10,10,1,1.11,40,2,8.89,40,2.5,11.11,14,860,180,1040,1054,56,4,0,20,1120,40,1160,1180,16,32,76.23333333,505.3186289,3.31E-06,4.471894264,4.593111038,573.3465983,62.46,4.59E-06,0.004423628,-0.030211117,0.025080909,0.68,-0.234795278,3.915230347,-0.017353635,-0.021643899,0.052656715,-0.03127668,-2.693676773,0.534798879,-8.609726441,0.028719342,
2.667,32.004,1,6,27,NW,0.74,1.76,0,60,0,26.67,5,1,0.56,60,2.5,16.67,70,3.5,27.22,22,1600,280,1880,1902,4,28,0,0,0,0,0,0,16,0,68.61,471.6939138,3.44E-06,4.362044334,5.334705353,502.0867564,61.82,4.06E-06,0.014426663,-0.064457573,0.049145182,0.46,-0.437194265,2.529096204,-0.027389142,-0.026025382,0.012149289,0.014128711,-2.510343439,0.144819279,-10.55493566,-0.024764946,
2.667,35.052,1,6,28,NW,0.62,4.85,0,5,0,6.67,0,0,0,5,1,0.56,30,2,6.67,10,780,60,840,850,8,0,0,10,620,140,760,770,20,8,72.16,359.728742,2.49E-06,9.662754059,3.731695175,764.144155,68.73666667,5.56E-06,0.010271759,-0.059302356,0.0509063,-0.76,-0.449217474,5.303724225,-0.045037952,0.014385302,-0.028196187,0.010743871,0.272989894,-0.088306622,-4.048265945,0.023382031,
2.667,38.1,1,7,29,NW,0.6,8.51,0,15,0,0,0,0,0,0,0,0,5,1,0.56,12,1400,200,1600,1612,32,0,4,6,380,80,460,466,16,0,63.28,499.8113505,3.95E-06,2.495875359,4.607056618,426.3569133,63.87333333,3.34E-06,0.011326661,-0.071166635,0.058191682,1.22,-0.540101854,3.665824077,-0.040040936,0.010368002,-0.0078442,-0.002256964,0.356323227,0.096083366,5.391130241,0.014111862,
2.667,41.148,1,7,30,NW,0.66,4.62,0,8.33,0,0,0,0,0,5,1,0.56,25,1.5,4.17,14,1120,160,1280,1294,8,8,0,7,380,100,480,487,16,0,77.00333333,277.1364059,1.80E-06,2.765809059,4.284644127,324.1038615,69.00333333,2.35E-06,0.006255947,-0.06613845,0.057504005,-0.32,-0.541140418,2.670226284,-0.041106437,0.007148406,0.000851651,-0.008547597,0.572989894,0.133360352,1.28766195,0.018604628,
2.667,44.196,1,8,31,NW,0.51,3.65,0,43.33,0,6.67,0,0,0,0,0,0,50,1.5,8.33,7,620,40,660,667,8,0,0,9,660,120,780,789,16,0,60.79333333,319.754247,2.63E-06,1.239979744,6.025292397,371.62559,75.90333333,2.45E-06,0.01455022,-0.070658823,0.055154474,0.74,-0.503144782,0.30682546,-0.036305255,-0.005329004,-0.005260489,0.011194397,-0.027010106,0.040255429,-1.15979282,-0.012005269,
2.667,47.244,1,8,32,NW,0.49,2.43,0,21.67,1.17,43.33,5,2,1.11,40,1.5,6.67,60,3.5,23.33,12,980,120,1100,1112,4,0,0,4,250,60,310,314,20,0,65.82333333,281.9422073,2.14E-06,6.280446053,5.5522089,550.5337118,73.21666667,3.76E-06,-0.004696591,-0.027623802,0.031571542,-2.56,-0.125046113,-3.231161203,-0.026406881,0.007568685,-0.028017818,0.020197276,-0.660343439,-0.115461077,0.729487578,-0.011216099,
3.429,1.524,2,1,33,SW,0.52,3.55,0,33.33,1.33,38.33,10,1,1.11,50,1.5,8.33,85,4,37.78,16,880,240,1120,1136,8,8,0,6,880,120,1000,1006,0,0,66.84333333,758.6767171,5.68E-06,2.716776848,6.77560997,546.1410523,66.51,4.11E-06,-0.037185534,0.081141341,-0.045081027,-3.72,0.719910223,-12.62922857,0.025254323,-0.019139262,0.000376166,0.018105036,0.039256209,-0.006679907,-6.53662664,-0.019198953,
3.429,4.572,2,1,34,SW,0.54,4.1,0,5,2.17,26.67,20,1,2.22,60,2,13.33,85,5,47.22,22,1560,240,1800,1822,24,36,0,12,1620,180,1800,1812,8,0,59.41666667,473.9690145,3.99E-06,3.311353683,7.733547211,624.8890482,55.31333333,5.65E-06,-0.037839616,0.098034779,-0.059020298,-4.22,0.751925689,-11.13949927,0.022005969,0.013700444,-0.013171938,-0.000655224,-0.744077125,0.004101136,2.421014676,0.004632954,
3.429,7.62,2,2,35,SW,0.59,2.57,0,33.33,0,20,15,1,1.67,40,2.5,11.11,65,2.5,18.06,24,1440,160,1600,1624,0,8,0,5,440,80,520,525,8,4,64.40666667,601.6395976,4.67E-06,4.414719582,5.130249023,520.6944631,53.71333333,4.85E-06,-0.059300178,0.091870188,-0.034391604,-5.38,0.456441781,-36.25276798,-0.017814512,-0.008408545,0.009926257,-0.000212709,1.505922875,0.165982168,-2.243360252,-0.010890882,
3.429,10.668,2,2,36,SW,0.57,5.48,0,26.67,0,0,10,1,1.11,50,2,11.11,75,5,41.67,27,1720,280,2000,2027,48,128,0,5,500,80,580,585,12,8,70.34,723.9736023,5.15E-06,3.737772942,5.288994789,632.385315,64.12,4.93E-06,-0.020520251,-0.016914232,0.038528069,-2.92,-0.098665276,-3.981534269,-0.023505655,-0.013426991,0.023825073,-0.011520983,0.255922875,0.139271401,-3.219127205,0.005554866,
3.429,13.716,2,3,37,SW,0.67,3.39,0,40,2,30,75,2.5,20.83,75,2,16.67,75,3.5,29.17,13,940,180,1120,1133,16,0,0,13,1320,320,1640,1653,0,0,56.15333333,738.2020569,6.57E-06,4.451729774,6.512093544,605.0137838,66.51,4.55E-06,-0.01919729,0.052674257,-0.034003616,-0.66,0.342151675,-8.381602858,0.013592987,-0.002701854,0.013559697,-0.009848178,1.389256209,0.202944042,0.160503283,0.001331816,
3.429,16.764,2,3,38,SW,0.44,2.68,0,36.67,0,11.67,30,1.5,5,30,3,10,60,4,26.67,16,1640,360,2000,2016,0,0,0,15,1480,360,1840,1855,4,0,68.10666667,658.6255391,4.84E-06,4.668534279,5.52395153,549.2902883,63.92333333,4.30E-06,-0.018261288,0.029776321,-0.012003191,-4.48,0.105669354,-3.527910269,0.001233116,-0.046409214,0.065677727,-0.019379577,-4.877410458,0.425693811,-18.67537111,-0.001543465,
3.429,19.812,2,4,39,SW,0.35,4.13,4.33,61.67,0.33,13.33,50,2.5,13.89,30,3.5,11.67,60,4.5,30,29,2800,360,3160,3189,52,28,0,5,600,100,700,705,8,0,74.83,594.9444682,3.98E-06,8.80582428,6.252625465,558.666982,67.60666667,4.13E-06,-0.035909631,0.046704551,-0.010592382,-4.66,0.206519134,-20.2548368,-0.015613598,-0.016326042,0.04967266,-0.035130196,-1.477410458,0.45610045,-8.158594902,0.036085534,
3.429,22.86,2,4,40,SW,0.53,4.08,0.5,51.67,0.33,48.33,10,3,3.33,25,2,5.56,50,2,11.11,46,4320,480,4800,4846,56,76,0,5,980,80,1060,1065,0,0,60.70333333,494.5920614,4.07E-06,6.111658096,4.593635559,454.7206624,71.98,3.16E-06,-0.009306415,0.021380314,-0.012666294,-5.1,0.079240951,4.344490523,0.005355439,-0.032280262,0.056590925,-0.026019544,-0.344077125,0.340746481,-6.398732559,0.009116118,
3.429,25.908,2,5,41,NW,0.69,2.26,0,43.33,0,33.33,10,2,2.22,25,2.5,6.94,50,3,16.67,21,1760,240,2000,2021,48,120,0,57,4000,560,4560,4617,24,0,54.02333333,651.8635356,6.03E-06,4.049269676,4.619708061,721.3994446,65.79,5.48E-06,-0.015758734,0.011158522,0.006041367,-4.88,0.000443788,1.839759046,-0.016928206,-0.003199188,0.005666981,-0.005535365,-1.027410458,0.131172796,-3.028377327,0.036328962,
3.429,28.956,2,5,42,NW,0.5,4.43,0,8.33,0.33,40,10,1.5,1.67,60,3,20,60,3.5,23.33,20,1880,400,2280,2300,8,32,0,32,2720,400,3120,3152,0,0,66.40666667,599.3502808,4.51E-06,2.005410194,4.736129761,969.6365865,65.54666667,7.40E-06,-0.00132994,0.003841291,-0.001003812,-2.78,-0.031673307,11.56818031,-0.009450878,-0.015640159,0.002091304,0.013901616,0.372589542,0.058412921,-7.225676841,-0.027014074,
3.429,32.004,2,6,43,NW,0.56,4.52,0,18.33,0.17,13.33,20,1.5,3.33,75,3,25,70,4,31.11,20,1200,160,1360,1380,28,4,0,8,680,120,800,808,36,8,64.77333333,515.8371684,3.98E-06,3.786774635,3.859927177,735.4131673,65.43333333,5.62E-06,-0.001054884,0.009809178,-0.003494556,-3.28,0.10181982,13.35446747,-0.016607578,-0.004308528,0.027551364,-0.030081316,0.139256209,0.118158858,-0.941594118,0.087568363,
3.429,35.052,2,6,44,NW,0.79,6.56,0,18.33,0,0,0,0,0,20,1.5,3.33,40,2.5,11.11,12,880,140,1020,1032,8,4,0,6,540,100,640,646,20,0,70.33333333,241.144076,1.71E-06,1.187573433,2.935964584,651.2761536,66.78,4.88E-06,-0.020987907,0.049092596,-0.023126827,-4.9,0.336650466,3.063147646,-0.011752343,-0.007078451,0.035047962,-0.030059769,-0.327410458,0.281342943,-1.933378671,0.048440689,
3.429,38.1,2,7,45,NW,0.64,4.78,0,26.67,0,8.33,5,1,0.56,0,0,0,10,1,1.11,13,1040,220,1260,1273,0,4,0,13,1360,160,1520,1533,0,0,63.19,399.4905345,3.16E-06,1.183418274,3.010904312,476.4339345,71.62,3.33E-06,-0.016634407,0.061509601,-0.045466994,-6.24,0.364808297,-2.152100109,0.021013899,-0.009284954,-0.019359462,0.02612147,2.622589542,-0.160422292,-3.48877878,-0.022067435,
3.429,41.148,2,7,46,NW,0.77,3.85,0,11.67,0,11.67,0,0,0,5,1,0.56,20,1.5,3.33,18,1560,320,1880,1898,68,12,0,33,3240,200,3440,3473,24,0,65.24,539.8527527,4.14E-06,0.470201492,3.175598145,622.1594391,77.63333333,4.01E-06,-0.00643389,0.011190896,-0.002768311,-3.56,0.079521622,5.593967153,-0.005123449,0.001732903,0.004098726,-0.007339105,3.162246103,0.116617742,0.521124189,0.014630002,
3.429,44.196,2,8,47,NW,0.76,3.34,0,23.33,0,26.67,0,0,0,0,0,0,15,1,1.67,10,560,100,660,670,8,8,0,4,420,30,450,454,0,0,66.35666667,328.4431992,2.47E-06,5.695801735,3.377034187,459.4791616,76.84,2.99E-06,-0.009957324,0.023760071,-0.015631846,-2.9,0.061198259,-1.121506796,0.007582371,0.02413222,-0.031328511,0.006099375,1.422989894,-0.120786411,5.875827834,0.014985331,
3.429,47.244,2,8,48,NW,0.47,2,0,46.67,0.5,56.67,5,1,0.56,25,1.5,4.17,40,2.5,11.11,8,560,120,680,688,8,0,0,15,1600,320,1920,1935,8,0,70.21666667,253.5010325,1.81E-06,5.193889618,2.667882919,424.8074646,88.36333333,2.40E-06,-0.040233124,0.028272747,0.015747667,-4.68,0.087626314,-4.93573207,-0.052966158,-0.001637529,0.012714915,-0.012810776,3.145579436,0.147948319,-1.889485041,0.020116808,
5.715,1.524,2,1,49,SE,0.73,1.09,1.17,41.67,0.5,96.67,90,3.5,35,95,4,42.22,100,6.5,72.22,50,5600,960,6560,6610,0,0,0,19,1720,160,1880,1899,0,0,60.53666667,498.5822601,4.12E-06,5.925889015,5.922739983,517.4024404,65.92,3.92E-06,0.016251638,0.012179917,-0.034680373,-1.513333333,-0.298789772,-2.012893481,0.042046865,-0.04090371,0.085499399,-0.044974337,-6.016666667,0.584487635,-11.86501219,0.033070165,
5.715,4.572,2,1,50,SE,0.84,3.65,0,40,1.17,20,75,3,25,95,3.5,36.94,100,5.5,61.11,45,4240,640,4880,4925,8,0,0,49,5200,240,5440,5489,16,0,61.6,745.1854146,6.05E-06,2.181113243,5.393938065,728.5321249,67.01,5.44E-06,0.008947181,0.044490853,-0.059201406,-2.453333333,-0.121903026,-3.766151577,0.039383702,-0.0006936,0.024568095,-0.028800485,-1.516666667,0.142044173,-3.162830478,0.068156478,
5.715,7.62,2,2,51,SE,0.52,1.94,0,31.67,1.83,46.67,60,2.5,16.67,90,3,30,100,6,66.67,30,2760,320,3080,3110,8,8,0,10,960,140,1100,1110,0,0,72.92333333,785.8913269,5.39E-06,2.078994751,5.643362045,729.7512411,69.86,5.22E-06,-0.001783781,-0.009420531,0.012777126,-3.853333333,-0.545599881,0.295857685,-0.051184151,-0.08474541,0.146196849,-0.062866574,-10.56666667,1.08953131,-21.66672999,0.032591634,
5.715,10.668,2,2,52,SE,0.44,4.46,0.33,25,2.17,31.67,80,2.5,22.22,90,3,30,70,4,31.11,31,2920,880,3800,3831,28,8,0,6,540,40,580,586,0,0,69.36333333,913.2937215,6.58E-06,4.467578888,6.601128578,638.3988851,69.72333333,4.58E-06,0.016470493,-0.012982442,-0.000728161,-5.813333333,-0.513189781,13.07601132,-0.039974475,-0.006102473,0.031289203,-0.029014583,0.2,0.237446373,-5.084475918,0.043454846,
5.715,13.716,2,3,53,SE,0.44,2.13,1.67,56.67,2.5,56.67,80,3.5,31.11,95,3.5,36.94,70,3.5,27.22,22,1920,280,2200,2222,32,0,0,14,1260,200,1460,1474,0,0,58.62,761.8295085,6.50E-06,7.329465866,5.575025558,1055.964528,71.17666667,7.42E-06,-0.00465078,0.000521787,0.005533386,-1.873333333,-0.481406672,-1.373635136,-0.043494969,-0.020838288,0.059688918,-0.03817981,-3.25,0.537254786,-6.986843333,0.039182764,
5.715,16.764,2,3,54,SE,0.52,3.66,0,63.33,1.17,36.67,75,3,25,60,3,20,60,4,26.67,38,5280,400,5680,5718,20,8,0,2,160,20,180,182,0,8,61.72666667,810.9844767,6.57E-06,6.107373238,4.864168167,685.6068624,74.05333333,4.63E-06,-0.001906994,0.00604825,-0.004601916,-2.433333333,-0.406687979,4.911376358,-0.030690347,-0.02262104,0.052711093,-0.032607562,-3.383333333,0.378244681,-9.441602562,0.036964447,
5.715,19.812,2,4,55,SE,0.63,2.29,0,48.33,2.17,83.33,60,3,20,40,2,8.89,30,2,6.67,53,5960,960,6920,6973,8,0,0,14,1520,320,1840,1854,0,0,74.70666667,611.0617371,4.09E-06,6.251066208,5.252736092,676.5621745,70.19,4.82E-06,-0.000822262,0.033553082,-0.031019634,-3.8,-0.178847946,2.125723393,-0.02334675,-0.006290787,0.022617876,-0.021843407,0.15,0.205841107,-12.13057342,0.050904572,
5.715,22.86,2,4,56,SE,0.48,4.54,0,36.67,0,51.67,10,1,1.11,25,3,8.33,50,3,16.67,49,5600,720,6320,6369,24,44,0,12,1260,140,1400,1412,0,8,60.87,706.6041361,5.80E-06,3.716864586,4.602472305,588.2016195,80.36666667,3.66E-06,-0.020970439,-0.052502994,0.074409358,-3.833333333,-0.770675523,-12.93297695,-0.077368158,0.005176255,-0.006295979,-0.003915635,-0.966666667,-0.105511064,-4.06749259,0.024896113,
