Year,Yield,V3.DW,R5.DW,V3.foliar,V3.root,R5.foliar,R5.root,R4.DX,R5.DX,R6.DX,PreSCN.cysts,PreSCN.eggs,PreSCN.juvs,Pre.spiral,Pre.ratio,V3.qPCR,R5.qPCR
2015,28.8975371,0.56,4.055,0,37.5,1.165,20,1.665,8.055,23.335,25,2160,220,32,0.00000617,4.138904572,5.255427361
2015,33.56816095,0.685,3.32,0.165,54.165,0.415,27.5,0.28,7.36,25.415,18,1540,160,20,0.000003935,4.421665669,5.429555893
2015,30.25747697,0.58,4.395,0,15,0,19.165,0,2.775,17.5,18.5,1400,180,12,0.000002085,2.547169685,5.252908707
2015,25.35619255,0.49,3.265,0,21.665,1.75,30,2.915,16.67,54.305,28.5,3240,460,16,0.000005605,3.219830037,6.193562031
2015,26.32746372,0.555,3.05,0.165,21.665,2.165,34.17,7.22,22.22,42.64,16,1640,220,8,0.000005565,3.583759785,6.262221337
2015,24.92652453,0.585,1.995,0,31.665,1.25,55,16.385,11.11,5,42,3820,500,6,0.000006155,5.177886009,5.294224263
2015,29.84791283,0.67,3.87,0,28.33,1.75,36.67,3.75,31.665,43.89,27,2300,340,10,0.000005825,4.259502888,6.268680096
2015,37.91361308,0.765,4.375,0,26.665,1.335,28.335,0.28,18.89,31.115,24.5,2320,360,18,0.00000567,2.812206268,6.030937195
2015,31.60200512,0.74,3.675,0,25,1.25,36.665,2.22,9.03,38.335,35.5,3180,380,8,0.00000456,3.817595959,5.677288055
2015,36.58525005,0.69,3.93,0,15.835,0,18.335,0,1.945,17.22,11,1050,140,8,0.00000382,1.67949152,4.653656483
2015,36.58401025,0.52,4.175,0,28.335,0.335,10,0.415,1.11,8.885,11,960,130,16,0.000001835,1.359386921,4.795712471
2014,26.03506097,0.48,3.295,1.915,66.25,1.4175,54.165,3.333333333,3.333333333,18.88888889,62,4540,1420,30,1.06E-06,5.386445999,4.110826969
2014,14.06947468,0.6375,2.56,1.0425,56.25,1.2925,45.0025,5,31.11111111,42.22222222,57.5,5260,800,96,9.44E-07,5.382334709,4.411448002
2014,19.87889568,0.5925,2.4025,1.7925,58.335,1.9575,61.665,15,35.55555556,40,24.25,2180,450,26,9.34E-07,5.852273941,4.241090298
2014,29.01942881,0.4475,3.155,2.8325,51.665,1.335,46.665,11.66666667,15.55555556,26.66666667,68,6250,1040,68,8.95E-07,6.194878102,5.877585411
2014,29.34358006,0.5725,3.9275,1.835,40.8325,0.625,29.5825,22.22222222,13.33333333,20.83333333,24.5,2245,370,18,8.61E-07,3.861875057,5.579886436
2014,34.32960977,0.6425,3.095,1.335,35.4175,0.0825,30.4175,8.888888889,8.888888889,8.333333333,34.25,3010,510,34,6.60E-07,5.10719204,4.386295319
2014,33.28832788,0.635,4.0075,0.4175,32.0825,0.1675,47.5,0.555555556,3.888888889,13.33333333,27,2515,295,52,1.08E-06,3.301083565,5.547299862
2014,31.40039409,0.8875,3.9225,1.54,18.3325,0.585,60.8325,1.111111111,2.222222222,21.38888889,12.25,1045,185,32,0.00000082,3.130809784,6.602105618
2014,25.75962443,0.5475,2.2175,1.5,49.6675,2,57.5,8.333333333,17.77777778,40,43.75,3190,460,20,1.16E-06,5.495605946,4.309039116
2014,15.90672914,0.52,2.6075,0.8725,51.2525,1.625,42.5,10,23.33333333,35,60.5,4660,790,28,0.000001265,5.022590637,4.848534584
2014,21.49818325,0.51,1.7075,0.9975,42.5,1.1675,63.3325,3.333333333,13.33333333,20.83333333,52,3960,800,52,0.000001352,4.775396824,5.769105911
2014,27.36349076,0.575,2.0175,1.3325,43.75,1.4575,52.5,7.777777778,10,19.44444444,36.25,2585,470,90,0.000001225,4.952570915,5.751926422
2014,36.15788043,0.485,2.3125,1.0425,44.5825,0.4575,40.4175,12.5,15.55555556,28.33333333,34,2860,480,34,6.22E-07,2.610431194,5.652592659
2014,31.38013762,0.635,4.94,1.375,48.3325,0.9175,22.5,2.222222222,6.666666667,19.44444444,32.75,3130,450,46,7.35E-07,4.607030392,4.143164158
2014,29.44040867,0.67,3.255,0.6675,55.415,0,39.5825,2.777777778,1.666666667,22.22222222,29.75,2725,365,100,7.70E-07,4.353765488,4.497812271
2014,23.52165612,0.855,4.92,0.0825,22.5025,0.4175,33.75,6.666666667,6.666666667,17.5,26.5,2095,380,42,8.73E-07,3.492856026,5.174482346
2014,19.97292043,0.6225,2.515,0.5,40.4175,1.5,47.9175,3.333333333,31.66666667,18.88888889,24,1830,505,16,1.18E-06,4.952115536,3.068956852
2014,21.21581336,0.645,2.165,0.1675,22.9175,1.7525,52.5,18.05555556,27.22222222,30,28.75,2360,360,26,1.37E-06,3.939217568,3.950908661
2014,25.03721033,0.6875,2.4875,0.4975,37.0825,0.8725,53.75,5.555555556,20,8.888888889,64.5,5400,940,44,0.0000014,3.863526821,4.837260246
2014,30.60101683,0.63,2.2775,0.375,23.7525,0.6675,31.25,8.333333333,10,19.44444444,32.75,2795,340,28,1.18E-06,4.337188244,5.998812199
2014,38.06111149,0.575,3.12,0.375,43.7525,0.335,36.665,5.555555556,11.66666667,22.22222222,31,2540,420,54,6.07E-07,1.911898613,5.442943573
2014,40.2404562,0.7225,2.725,0.415,28.3325,0.2925,52.915,1.111111111,3.888888889,5,36.25,2500,470,34.5,0.000000659,3.663211346,4.812675476
2014,35.77300745,0.6775,3.39,0.665,57.0825,0.0825,48.3325,1.111111111,1.111111111,3.333333333,35,3070,380,64,8.76E-07,3.029763699,3.645520211
2014,27.17338128,0.8225,4.5025,0.21,25,0.375,34.1675,0,4.444444444,6.944444444,23.5,1920,375,68,8.32E-07,3.3014884,3.992599964
