Year,V3.DW,R5.DW,V3.foliar,V3.root,R5.foliar,R5.root,R4.DX,R5.DX,R6.DX,PreSCN.cysts,PreSCN.eggs,PreSCN.juvs,Pre.spiral,Pre.ratio,V3.qPCR,R5.qPCR
2015,0.44,2.68,0,36.67,0,11.67,5,10,26.67,16,1640,360,0,0.00000484,4.668534279,5.52395153
2015,0.35,4.13,4.33,61.67,0.33,13.33,13.89,11.67,30,29,2800,360,52,0.00000398,8.80582428,6.252625465
2015,0.53,4.08,0.5,51.67,0.33,48.33,3.33,5.56,11.11,46,4320,480,56,0.00000407,6.111658096,4.593635559
2015,0.69,2.26,0,43.33,0,33.33,2.22,6.94,16.67,21,1760,240,48,0.00000603,4.049269676,4.619708061
2015,0.5,4.43,0,8.33,0.33,40,1.67,20,23.33,20,1880,400,8,0.00000451,2.005410194,4.736129761
2015,0.56,4.52,0,18.33,0.17,13.33,3.33,25,31.11,20,1200,160,28,0.00000398,3.786774635,3.859927177
2015,0.79,6.56,0,18.33,0,0,0,3.33,11.11,12,880,140,8,0.00000171,1.187573433,2.935964584
2015,0.64,4.78,0,26.67,0,8.33,0.56,0,1.11,13,1040,220,0,0.00000316,1.183418274,3.010904312
2015,0.77,3.85,0,11.67,0,11.67,0,0.56,3.33,18,1560,320,68,0.00000414,0.470201492,3.175598145
2015,0.76,3.34,0,23.33,0,26.67,0,0,1.67,10,560,100,8,0.00000247,5.695801735,3.377034187
2015,0.47,2,0,46.67,0.5,56.67,0.56,4.17,11.11,8,560,120,8,0.00000181,5.193889618,2.667882919
2015,0.73,1.09,1.17,41.67,0.5,96.67,35,42.22,72.22,50,5600,960,0,0.00000412,5.925889015,5.922739983
2015,0.84,3.65,0,40,1.17,20,25,36.94,61.11,45,4240,640,8,0.00000605,2.181113243,5.393938065
2015,0.52,1.94,0,31.67,1.83,46.67,16.67,30,66.67,30,2760,320,8,0.00000539,2.078994751,5.643362045
2015,0.44,4.46,0.33,25,2.17,31.67,22.22,30,31.11,31,2920,880,28,0.00000658,4.467578888,6.601128578
2015,0.44,2.13,1.67,56.67,2.5,56.67,31.11,36.94,27.22,22,1920,280,32,0.0000065,7.329465866,5.575025558
2015,0.52,3.66,0,63.33,1.17,36.67,25,20,26.67,38,5280,400,20,0.00000657,6.107373238,4.864168167
2015,0.63,2.29,0,48.33,2.17,83.33,20,8.89,6.67,53,5960,960,8,0.00000409,6.251066208,5.252736092
2015,0.48,4.54,0,36.67,0,51.67,1.11,8.33,16.67,49,5600,720,24,0.0000058,3.716864586,4.602472305
2015,0.69,3.26,0.33,28.33,2.33,40,4.17,26.67,37.78,30,3320,520,32,0.00000689,2.385521889,3.618281364
2015,0.69,4.72,0.67,40,0,16.67,3.33,6.67,15.56,31,3120,600,48,0.00000371,4.707577705,3.546634674
2015,0.54,4.54,0,33.33,1.5,25,13.89,8.89,12.5,46,3280,720,36,0.00000343,4.865189552,3.729549408
2015,0.59,5.76,0,43.33,0.83,16.67,1.67,5,15.56,30,2840,320,24,0.00000381,3.183856964,3.711369514
2015,0.71,2.64,0,36.67,1.17,85,1.11,6.67,25.28,16,1400,160,20,0.00000283,3.542346001,4.508470535
2015,0.61,6.54,0,43.33,0,3.33,0.56,0.56,25,21,1960,200,12,0.00000377,2.785923004,3.870676041
2015,0.86,3.8,0,31.67,0.67,20,0.56,1.11,5,13,1240,180,40,0.00000221,2.471238136,4.23769474
2015,0.67,3.69,0,20,0,3.33,0,1.11,8.33,10,840,80,8,0.00000199,1.932815552,3.085330009
2015,0.46,1.77,0.83,40,1.83,83.33,20,22.22,35.56,44,4720,480,12,0.00000618,4.264313698,4.474065781
2015,0.6,2.88,0,36.67,0,33.33,8.89,23.33,20,17,1600,280,8,0.00000478,2.767027855,3.707443237
2015,0.43,2.41,0.83,35,0.67,40,6.67,20.83,50,26,2440,320,8,0.00000807,3.426670074,6.964529991
2015,0.7,2.66,0,41.67,1.33,48.33,5,20,35,43,4800,560,20,0.00000484,5.029750824,6.413078308
2015,0.76,3.08,0,35,0.67,46.67,8.33,13.89,27.22,23,2240,480,8,0.00000753,5.544284821,7.077617645
2015,0.59,3.58,0,30,2.67,56.67,8.33,25,35,58,5120,960,16,0.00000518,3.883714676,7.302823067
2015,0.63,3.47,0.33,31.67,0.33,20,13.89,2.78,9.72,22,2280,360,4,0.00000697,3.725580215,6.507609367
2015,0.61,3.51,0,46.67,0,43.33,3.33,2.78,15,38,3680,600,16,0.00000482,4.120200157,5.811315536
2015,0.68,2.41,0,26.67,0.67,50,3.33,13.89,19.44,22,2240,360,36,0.0000041,4.377494812,5.641799927
2015,0.65,4.77,0,6.67,0.33,8.33,0.56,6.67,21.67,24,2120,400,16,0.00000553,3.027594566,6.719628334
2015,0.52,3.46,0,38.33,0.33,20,2.22,11.11,31.11,31,2560,200,40,0.00000747,4.428555489,4.805927277
2015,0.6,4.65,0,36.67,2,20,1.11,5,15.56,19,1760,240,24,0.00000487,3.849253654,5.704927444
2015,0.72,3.22,0.33,55,0.83,35,0,8.89,30,19,1720,160,28,0.00000448,4.758437157,5.441926003
2015,0.65,3.42,0,53.33,0,20,0.56,5.83,20.83,17,1360,160,12,0.00000339,4.08489418,5.417185783
2015,0.39,4.29,0,18.33,0,20,0,1.11,10,14,1240,120,20,0.00000245,2.450081825,5.597125053
2015,0.77,4.5,0,11.67,0,18.33,0,4.44,25,23,1560,240,4,0.00000172,2.644257545,4.90869236
2015,0.56,3.92,0,13.33,0.83,6.67,2.5,17.78,47.5,28,3120,440,16,0.0000059,2.695682526,5.729690552
2015,0.42,2.61,0,30,2.67,53.33,3.33,15.56,61.11,29,3360,480,16,0.00000531,3.743977547,6.65743351
2015,0.62,2.7,0.33,15,2.33,46.67,11.11,25,58.06,17,1800,240,4,0.000007,4.244858742,6.031411171
2015,0.49,3.4,0,28.33,2,21.67,3.33,19.44,27.22,15,1480,200,12,0.00000413,2.922660828,6.493031502
2015,0.62,2.84,0,30,2.5,26.67,19.44,11.11,3.33,28,2920,360,8,0.0000062,5.713247299,4.737726212
2015,0.55,1.15,0,33.33,0,83.33,13.33,11.11,6.67,56,4720,640,4,0.00000611,4.642524719,5.850722313
2015,0.55,3.89,0,33.33,1,26.67,5,28.33,37.78,20,1760,280,0,0.00000856,4.358506203,5.791044235
2015,0.79,3.85,0,23.33,2.5,46.67,2.5,35,50,34,2840,400,20,0.00000309,4.160499573,6.746315956
2015,0.64,4.49,0,20,2.67,40,0.56,26.67,26.67,30,2880,480,32,0.00000551,2.864712715,5.57514286
2015,0.89,4.26,0,33.33,0,16.67,0,11.11,35.56,19,1760,240,4,0.00000583,2.759699821,6.486731529
2015,0.82,4.87,0,20,0,13.33,1.11,5.56,26.67,33,3080,400,16,0.00000367,4.146925926,4.999802589
2015,0.66,2.48,0,30,2.5,60,3.33,12.5,50,38,3280,360,0,0.00000545,3.488265991,6.354773521
2015,0.67,3.46,0,10,0,26.67,0,2.78,23.33,9,940,120,8,0.00000376,1.67113018,3.767473221
2015,0.71,4.4,0,21.67,0,10,0,1.11,11.11,13,1160,160,8,0.00000388,1.687852859,5.539839745
2015,0.6,4.95,0,21.67,0,6.67,0,0,3.33,11,980,120,32,0.00000225,0.781894684,5.021308899
2015,0.44,3.4,0,35,0.67,13.33,0.83,2.22,14.44,11,940,140,0,0.00000142,1.936879158,4.570116043
2014,0.48,3.295,1.915,66.25,1.4175,54.165,3.333333333,3.333333333,18.88888889,62,4540,1420,30,1.06E-06,5.386445999,4.110826969
2014,0.6375,2.56,1.0425,56.25,1.2925,45.0025,5,31.11111111,42.22222222,57.5,5260,800,96,9.44E-07,5.382334709,4.411448002
2014,0.5925,2.4025,1.7925,58.335,1.9575,61.665,15,35.55555556,40,24.25,2180,450,26,9.34E-07,5.852273941,4.241090298
2014,0.4475,3.155,2.8325,51.665,1.335,46.665,11.66666667,15.55555556,26.66666667,68,6250,1040,68,8.95E-07,6.194878102,5.877585411
2014,0.5725,3.9275,1.835,40.8325,0.625,29.5825,22.22222222,13.33333333,20.83333333,24.5,2245,370,18,8.61E-07,3.861875057,5.579886436
2014,0.6425,3.095,1.335,35.4175,0.0825,30.4175,8.888888889,8.888888889,8.333333333,34.25,3010,510,34,6.60E-07,5.10719204,4.386295319
2014,0.635,4.0075,0.4175,32.0825,0.1675,47.5,0.555555556,3.888888889,13.33333333,27,2515,295,52,1.08E-06,3.301083565,5.547299862
2014,0.8875,3.9225,1.54,18.3325,0.585,60.8325,1.111111111,2.222222222,21.38888889,12.25,1045,185,32,0.00000082,3.130809784,6.602105618
2014,0.5475,2.2175,1.5,49.6675,2,57.5,8.333333333,17.77777778,40,43.75,3190,460,20,1.16E-06,5.495605946,4.309039116
2014,0.52,2.6075,0.8725,51.2525,1.625,42.5,10,23.33333333,35,60.5,4660,790,28,0.000001265,5.022590637,4.848534584
2014,0.51,1.7075,0.9975,42.5,1.1675,63.3325,3.333333333,13.33333333,20.83333333,52,3960,800,52,0.000001352,4.775396824,5.769105911
2014,0.575,2.0175,1.3325,43.75,1.4575,52.5,7.777777778,10,19.44444444,36.25,2585,470,90,0.000001225,4.952570915,5.751926422
2014,0.485,2.3125,1.0425,44.5825,0.4575,40.4175,12.5,15.55555556,28.33333333,34,2860,480,34,6.22E-07,2.610431194,5.652592659
2014,0.635,4.94,1.375,48.3325,0.9175,22.5,2.222222222,6.666666667,19.44444444,32.75,3130,450,46,7.35E-07,4.607030392,4.143164158
2014,0.67,3.255,0.6675,55.415,0,39.5825,2.777777778,1.666666667,22.22222222,29.75,2725,365,100,7.70E-07,4.353765488,4.497812271
2014,0.855,4.92,0.0825,22.5025,0.4175,33.75,6.666666667,6.666666667,17.5,26.5,2095,380,42,8.73E-07,3.492856026,5.174482346
2014,0.6225,2.515,0.5,40.4175,1.5,47.9175,3.333333333,31.66666667,18.88888889,24,1830,505,16,1.18E-06,4.952115536,3.068956852
2014,0.645,2.165,0.1675,22.9175,1.7525,52.5,18.05555556,27.22222222,30,28.75,2360,360,26,1.37E-06,3.939217568,3.950908661
2014,0.6875,2.4875,0.4975,37.0825,0.8725,53.75,5.555555556,20,8.888888889,64.5,5400,940,44,0.0000014,3.863526821,4.837260246
2014,0.63,2.2775,0.375,23.7525,0.6675,31.25,8.333333333,10,19.44444444,32.75,2795,340,28,1.18E-06,4.337188244,5.998812199
2014,0.575,3.12,0.375,43.7525,0.335,36.665,5.555555556,11.66666667,22.22222222,31,2540,420,54,6.07E-07,1.911898613,5.442943573
2014,0.7225,2.725,0.415,28.3325,0.2925,52.915,1.111111111,3.888888889,5,36.25,2500,470,34.5,0.000000659,3.663211346,4.812675476
2014,0.6775,3.39,0.665,57.0825,0.0825,48.3325,1.111111111,1.111111111,3.333333333,35,3070,380,64,8.76E-07,3.029763699,3.645520211
2014,0.8225,4.5025,0.21,25,0.375,34.1675,0,4.444444444,6.944444444,23.5,1920,375,68,8.32E-07,3.3014884,3.992599964
